cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,Ciudad,Municipio
ACO,Acolman,-98.912003,19.635501,2198,,4.84E+11,Estado de Mexico,Valle de Mexico
AJU,Ajusco,-99.162611,19.154286,2942,,4.84E+11,Ciudad de Mexico,Tlalpan
AJM,Ajusco Medio,-99.207744,19.272161,2548,,4.84E+11,Ciudad de Mexico,Tlalpan
ARA,Aragón,-99.074549,19.470218,2200,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Gustavo A Madero
ATI,Atizapan,-99.254133,19.576963,2341,,4.84E+11,Estado de Mexico,Atizapan de Zaragoza
AZC,Azcapotzalco,-99.198657,19.487728,2279,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Azcapotzalco
BJU,Benito Juárez,-99.159596,19.370464,2249,Finalizó operación en 2005,4.84E+11,Ciudad de Mexico,Benito Juarez
CAM,Camarones,-99.169794,19.468404,2233,,4.84E+11,Ciudad de Mexico,Azcapotzalco
CCA,Centro de Ciencias de la Atmósfera,-99.176111,19.326111,2294,,4.84E+11,Ciudad de Mexico,Coyoacan
CES,Cerro de la Estrella,-99.074678,19.334731,2219,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Iztapalapa
CFE,Museo Tecnológico de la CFE,-99.194279,19.414393,2287,Finalizó operación en 1996,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
CHO,Chalco,-98.886088,19.266948,2253,,4.84E+11,Estado de Mexico,Chalco
COR,CORENA,-99.02604,19.265346,2242,,4.84E+11,Ciudad de Mexico,Xochimilco
COY,Coyoacán,-99.157101,19.350258,2260,,4.84E+11,Ciudad de Mexico,Coyoacan
CUA,Cuajimalpa,-99.291705,19.365313,2704,,4.84E+11,Ciudad de Mexico,Cuajimalpa de Morelos
CUI,Cuitláhuac,-99.165849,19.469859,2255,Finalizó operación en 1993,4.84E+11,Ciudad de Mexico,Azcapotzalco
CUT,Cuautitlán,-99.198602,19.722186,2263,,4.84E+11,Estado de Mexico,Tepotzotlan
DIC,Diconsa,-99.185774,19.298819,2305,,4.84E+11,Ciudad de Mexico,Tlalpan
EAJ,Ecoguardas Ajusco,-99.203971,19.271222,2584,,4.84E+11,Ciudad de Mexico,Tlalpan
EDL,Exconv. Desierto Leones,-99.310635,19.313357,2980,,4.84E+11,Ciudad de Mexico,Cuajimalpa de Morelos
FAC,FES Acatlán,-99.243524,19.482473,2299,,4.84E+11,Estado de Mexico,Naucalpan de Juarez
FAN,Felipe Ángeles,-99.17492,19.299126,2279,Finalizó operación en 1996,4.84E+11,Ciudad de Mexico,Tlalpan
GAM,Gustavo A. Madero,-99.094517,19.4827,2227,,4.84E+11,Ciudad de Mexico,Gustavo A Madero
HAN,Hangares,-99.083623,19.420518,2235,Finalizó operación en 2006,4.84E+11,Ciudad de Mexico,Benito Juarez
HGM,Hospital General de México,-99.152207,19.411617,2234,,4.84E+11,Ciudad de Mexico,Cuauhtemoc
IBM,Legaria,-99.21536,19.443319,2314,,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
IMP,Inst. Mexicano del Petróleo,-99.147294,19.487561,2250,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Gustavo A Madero
INN,Investigaciones Nucleares,-99.38052,19.291968,3082,,4.84E+11,Estado de Mexico,Ocoyoacac
IZT,Iztacalco,-99.117641,19.384413,2238,,4.84E+11,Ciudad de Mexico,Iztacalco
LAA,Lab. de Analisis Ambiental,-99.147312,19.483781,2255,,4.84E+11,Ciudad de Mexico,Venustiano Carranza
LAG,Lagunilla,-99.135183,19.44242,2223,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Cuauhtemoc
LLA,Los Laureles,-99.039644,19.578792,2230,,4.84E+11,Estado de Mexico,Ecatepec de Morelos
LOM,Lomas,-99.242062,19.403,2434,,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
LPR,La Presa,-99.11772,19.534727,2302,,4.84E+11,Estado de Mexico,Tlalnepantla de Baz
LVI,La Villa,-99.117749,19.46789,2228,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Gustavo A Madero
MCM,Museo de la Cd. de México,-99.131924,19.429071,2237,,4.84E+11,Ciudad de Mexico,Cuauhtemoc
MER,Merced,-99.119594,19.42461,2245,,4.84E+11,Ciudad de Mexico,Venustiano Carranza
MGH,Mguel Hidalgo,-99.20266,19.40405,2327,,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
MIN,Metro Insurgentes,-99.162885,19.42144,2231,Finalizó operación en 2007,4.84E+11,Ciudad de Mexico,Cuauhtemoc
MON,Montecillo,-98.902853,19.460415,2252,,4.84E+11,Estado de Mexico,Texcoco
MPA,Milpa Alta,-98.990189,19.1769,2594,,4.84E+11,Ciudad de Mexico,Milpa Alta
NET,Netzahualcoyotl,-99.026119,19.42115,2230,Finalizó operación en 2000,4.84E+11,Estado de Mexico,Nezahualcoyotl
NEZ,Nezahualcóyotl,-99.028212,19.393734,2235,,4.84E+11,Estado de Mexico,Nezahualcoyotl
PED,Pedregal,-99.204136,19.325146,2326,,4.84E+11,Ciudad de Mexico,Alvaro Obregon
PER,La Perla,-98.991858,19.38286,2237,Finalizó operación en 2011,4.84E+11,Estado de Mexico,Nezahualcoyotl
PLA,Plateros,-99.200109,19.365869,2345,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Alvaro Obregon
POT,Portales,-99.145766,19.376494,2237,Finalizó operación en 1996,4.84E+11,Ciudad de Mexico,Benito Juarez
SAG,San Agustín,-99.030324,19.532968,2241,,4.84E+11,Estado de Mexico,Ecatepec de Morelos
SFE,Santa fe,-99.262865,19.357357,2599,,4.84E+11,Ciudad de Mexico,Cuajimalpa de Morelos
SHA,Secretaría de Hacienda,-99.207868,19.446203,2272,,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
SJA,San Juan Aragón,-99.086095,19.452592,2258,,4.84E+11,Ciudad de Mexico,Venustiano Carranza
SNT,San Nicolas Totolapan,-99.256462,19.250385,2946,,4.84E+11,Ciudad de Mexico,La Magdalena Contreras
SUR,Santa Ursula,-99.149994,19.31448,2279,,4.84E+11,Ciudad de Mexico,Tlalpan
TAC,Tacuba,-99.202455,19.453907,2275,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
TAH,Tlahuac,-99.010564,19.246459,2297,,4.84E+11,Ciudad de Mexico,Xochimilco
TAX,Taxqueña,-99.123204,19.335689,2242,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Coyoacan
TEC,Cerro del Tepeyac,-99.114229,19.487227,2265,,4.84E+11,Ciudad de Mexico,Gustavo A Madero
TLA,Tlalnepantla,-99.204597,19.529077,2311,,4.84E+11,Estado de Mexico,Tlalnepantla de Baz
TLI,Tultitlán,-99.177173,19.602542,2313,,4.84E+11,Estado de Mexico,Tultitlan
TPN,Tlalpan,-99.184177,19.257041,2522,,4.84E+11,Ciudad de Mexico,Tlalpan
UAX,UAM Xochimilco,-99.103629,19.304441,2246,,4.84E+11,Ciudad de Mexico,Coyoacan
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221,,4.84E+11,Ciudad de Mexico,Iztapalapa
UNM,Unidad Movil,-99.147137,19.482238,,,4.84E+11,Ciudad de Mexico,Gustavo A Madero
VAL,Vallejo,-99.165702,19.522437,2248,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Gustavo A Madero
VIF,Villa de las Flores,-99.09659,19.658223,2242,,4.84E+11,Estado de Mexico,Coacalco de Berriozabal
XAL,Xalostoc,-99.0824,19.525995,2160,,4.84E+11,Estado de Mexico,Ecatepec de Morelos
XCH,Xochimilco,-99.118252,19.267066,2243,Finalizó operación en 1999,4.84E+11,Ciudad de Mexico,Xochimilco
FAR,FES Aragón,-99.046176,19.473692,2230,,4.85E+11,Estado de Mexico,Nezahualcoyotl
SAC,Santiago Acahualtepec,-99.009381,19.34561,2293,,4.85E+11,Ciudad de Mexico,Iztapalapa